Atlanten	اقیانوس اطلس
allemansrätt	حق عمومی استفاده از میوه های جنگلی
allena	بتنهائی، فقط
allenahärskande	حاکم منحصر بفرد
allergen	آلرژن، ماده مولد واکنش حساسیت یا آلرژی، آلرژی زا
allergi	آلرژی، حساسیت
allergisk	حساس بچیزی
allerhögst	بالاترین
allesammans	همه
allestädes	همه جا
allhelgona	روز یادبود مرده ها
allians	پیوستگی، اتحاد
alliansfri	غیر متحد
alliera	متحد شدن، پیوستن، هم پیمان شدن
allierad	هم پیمان، متحد
allierade	زمان گذشته از:، متحد شدن، پیوستن، هم پیمان شدن
allierar	زمان حال از:، متحد شدن، پیوستن، هم پیمان شدن
allierat	ماضی نقلی و بعید از:، متحد شدن، پیوستن، هم پیمان شدن
alligator	تمساح
allihopa	همه با هم، همگی
alliteration	وزن وقافیه اوّل کلمه
alliterationsdikt	شعر با قافیه
allkontroll	بازرسی کل
allmoge	طبقه دهقان، رعیت
allmän	عمومی، همگانی
allmänbefinnande	سلامت عمومی شخص
allmänbilda	معلومات جمع کردن
allmänbildad	با معلومات
allmänbildande	دارای معلومات عمومی
allmänbildning	معلومات عمومی
allmängiltig	همگانی، دارای اعتبار و کاربرد عمومی
allmänhet	عموم، ملت
allmänneligen	عموما
allmänt	عمومی، همگانی
allokera	اختصاص دادن
allokerade	زمان گذشته از:، اختصاص دادن
allokerar	زمان حال از:، اختصاص دادن
allokerat	ماضی نقلی و بعید از:، اختصاص دادن
allokution	خطابه، موعظه
allomorf	1 - تصریف مختلف فعل یا کلمه - دارای اشکال مختلف متبلور
allonge	ضمیمة، یادداشت
allra	از همه، ازهمه چیز، بهترین
alls	هیچ هیچ چیز
allsidig	همه جانبه
allsmäktig	قادر مطلق، حکمفرما بر همه چیز
allsvenskan	تیم های فوتبال سوئد
allt	همه، همه چیز، تمامی - هر
alltefter	برطبق برابر
alltför	بیش از حد
alltid	همیشه
alltifrån	از هر جهت
alltigenom	کاملا
alltihopa	همگی، همه
allting	همه چیز
allting snurrar runt för mig|snurra	سرم گیج میرود
alltmer	هر چه بیشتر
alltsedan	از زمانی که
alltså	به عبارت دیگر
alludera	اشاره کردن، اظهار کردن
alluderade	زمان گذشته از:، اشاره کردن، اظهار کردن
alluderar	زمان حال از:، اشاره کردن، اظهار کردن
alluderat	ماضی نقلی و بعید از:، اشاره کردن، اظهار کردن
allusion	اشاره، کنایه
allusionsvis	با کنایه
alluvial	رسوبی، آبرفتی
alluvium	رسوب، ته نشین
allvar	اهمیت، جدیت
allvarlig	جدی
allvarlighet	جدیت، وقار، سنگینی
allvetande	همه فن حریف
allätare	همه چیزخور
allé|alléer|allén	کوجه باغ، خیابان یا کوچه (درختکاری شده)
alm	درخت نارون
almanacka	تقویم
alpacka	نوعی شتر با پشم بلند
alpin	مربوط به کوه آلپ
alpinism	کوهنوردی
alruna	مهر گیاه
alster	تولید، محصول
alstra	تولید کردن، بوجود آوردن
alstrade	زمان گذشته از:،  تولید کردن، بوجود آوردن
alstrande	تولید کننده
alstrar	تولید کردن برق و گرما بطور مثال، زمان حال از:،  تولید کردن، بوجود آوردن
alstrare	مولّد برق
alstrat	ماضی نقلی و بعید از:،  تولید کردن، بوجود آوردن
alstring	فراهم آوری، تولید سازی
alstringskraft	نیروی تولید
alstringslinje	خط مولد سطح در اثر حرکت یا دوران
alt	صدای پائین زن یا پسر بچه ، گروه کر
altan	تراس، بالا خانه، بالکن، لُژ بالا
altare	میز موعظه کلیسا
altea	گل خطمی
alteration	دگرش
altererad	برانگیخته، گیج
alternativ	به طور متناوب، متناوباً، متغیرمتناوب، انتخاب- امکان، پیشنهاد متقابل، راه حل، شِق
alternatvinkel	زاویه متقابل
alternera	به نوبت انجام دادن
alternerade	زمان گذشته از:، به نوبت انجام دادن
alternerande	متناوب
alternerar	زمان حال از:، به نوبت انجام دادن
alternerat	ماضی نقلی و بعید از:، به نوبت انجام دادن
alternering	نوبت، تناوب
altita	یک نوع پرنده
altruism	نوع دوستی، بشردوستی
altruist	شخص نوعدوست
altruistisk	نوعدوستانه
aluminera	با آب آلومینیوم روکش کردن
aluminerade	زمان گذشته از:، با آب آلومینیوم روکش کردن
aluminerar	زمان حال از:، با آب آلومینیوم روکش کردن
aluminerat	ماضی نقلی و بعید از:، با آب آلومینیوم روکش کردن
aluminium	آلومینیوم
alumn	کار آموز، دانش آموز
alun	زاج سفید
alv	قشری از زمین
alvar	زمین دارای آهک زیاد
alveol	حفره کوچک در بافتهای بدن
alveolar	حفره دار، سوراخ سوراخ
amalgam	ترکیبات جیوه
amalgamera	با جیوه ترکیب کردن
amanuens	کارمند جزء
amatör	غیر حرفه ای، آماتور
amatörmässig	غیر حرفه ای
amatörskap	آماتوری
ambarn	طفل شیر خوار
ambassad	سفارت خانه
ambassadris	همسر سفیر
ambassadör	سفیر
ambition	هدف، خواست
ambitiös	کوششمند
ambivalens	دمدمی مزاج
ambra	عنبر
ambulans	آمبولانس
ambulera	تغییر مکان دادن، دور گشتن
ambulerade	زمان گذشته از:، تغییر مکان دادن، دور گشتن
ambulerande	سیّار، دوره گرد
ambulerar	زمان حال از:، تغییر مکان دادن، دور گشتن
ambulerat	ماضی نقلی و بعید از:، تغییر مکان دادن، دور گشتن
amen	آمین
amendemang	اصلاح، تصحیح
amerikan	اهل آمریکا
amerikanisera	آمریکائی مآب کردن
amerikaniserade	زمان گذشته از:، آمریکائی مآب کردن
amerikaniserar	زمان حال از:، آمریکائی مآب کردن
amerikaniserat	ماضی نقلی و بعید از:، آمریکائی مآب کردن
amerikansk	آمریکائی
amerikanska	زن آمریکائی
ametist	یاغوت ارغوانی
amfibie	حیوان دوزیست
amfibisk	دوزیستان
amiral	دریاسالار
amiralitet	دریا سالاری
amma	1 - زنی که بچه دیگری را شیر میدهد - ارضاع، شیر دادن
ammoniak	آمونیاک
ammunition	خوراک جنگ افزارهای آتشین مانند فشنگ و گلوله
ammunitionsförråd	انبار مهمات
amnesi	ضعف حافظه، فراموشی
amnesti	عفو، گذشت، عفو عمومی
amnestibesvär	خماری
amning	رضاعت
amok	شخص عصبانی و دیوانه
amoralisk	بدون احساس مسئولیت اخلاقی، غیراخلاقی
amoralitet	بد خلقی
amorf	بی شکل، غیر متبلور
amorfisk	بی قاعده، بی نظم
amortera	قسط پرداختن
amorterade	زمان گذشته از:، قسط پرداختن
amorterar	زمان حال از:، قسط پرداختن
amorterat	ماضی نقلی و بعید از:، قسط پرداختن
amorterbar	قسطی
amortering	پرداخت قسط
amorös	شیفته، عاشق
ampel	ظرف گلدان آویزان
amper	پر ادویه، تند
ampere	آمپر
amperemeter	آمپرمتر
amplifiera	وسعت دادن، بزرگ کردن، تقویت کردن
amplifierade	زمان گذشته از:، وسعت دادن، بزرگ کردن، تقویت کردن
amplifierar	زمان حال از:، وسعت دادن، بزرگ کردن، تقویت کردن
amplifierat	ماضی نقلی و بعید از:، وسعت دادن، بزرگ کردن، تقویت کردن
amplifikation	بسط، توسعه، تقویت
amplitud	میدان نوسان، فراخی - بُعد
ampull	آمپول
amputation	قطع عضوی از بدن
amputera	قطع اندام بدن کردن
amputerade	زمان گذشته از:، قطع اندام بدن کردن
amputerar	زمان حال از:، قطع اندام بدن کردن
amputerat	ماضی نقلی و بعید از:، قطع اندام بدن کردن
amulett	نظر قربانی، و ان یکات
amygdalin	ماده ایست در بادام تلخ
ana	حس کردن، حدس زدن، مشکوک بودن، ترسیدن
anabaptism	مرام فرقه ای که مراسم نامگذاری را رد میکند
anade	زمان گذشته از:، حس کردن، حدس زدن، مشکوک بودن، ترسیدن
anafor	تکرار یک یا چند عبارت متوالی
anagram	لغتی با حروف نامنظم
anakronism	بیموردی، نابهنگامی
anal	مربوط به مقعد
analfabet	بی سواد
analfabetisk	بیسواد، وابسته به بیسوادی
analgetika	داروی مسکن
analog	شبیه، مانند
analogi	قیاس
analogisk	قیاسی، قابل قیاس
analys	آنالیز، بررسی کردن دقیق
analysera	تجزیه و تحلیل کردن، بررسی کردن
analyserade	زمان گذشته از:، تجزیه و تحلیل کردن، بررسی کردن
analyserar	زمان حال از:، تجزیه و تحلیل کردن، بررسی کردن
analyserat	ماضی نقلی و بعید از:، تجزیه و تحلیل کردن، بررسی کردن
analytisk	تحلیلی، تجزیه ای
analöppning	مقعد
ananas	آناناس
anante	زمان گذشته از:، حس کردن، حدس زدن، مشکوک بودن، ترسیدن
anar	زمان حال از:، حس کردن، حدس زدن، مشکوک بودن، ترسیدن
anarki	هرج و مرج
anarkism	اصول هرج ومرجی
anarkist	آشوبگر
anat	ماضی نقلی و بعید از:، حس کردن، حدس زدن، مشکوک بودن، ترسیدن
anatema	نفرین، لعنت
anatom	کالبد شناس
anatomi	علم تشریح
anatomisk	تشریحی، مربوط به کالبد شناسی
anbefalla	توصیه یا سفارش کردن، تکلیف کردن
anbefallde	زمان گذشته از:، توصیه یا سفارش کردن، تکلیف کردن
anbefaller	زمان حال از:، توصیه یا سفارش کردن، تکلیف کردن
anbefallning	توصیه، سفارش
anbefallningsbrev	نامه سفارشی
anbefallt	ماضی نقلی و بعید از:، توصیه یا سفارش کردن، تکلیف کردن
anbelanga	مربوط بودن، ربط داشتن
anblick	نظر، دید
anbragt	ماضی نقلی و بعید از:، قرار دادن در جای مناسب، استوار کردن
anbragte	زمان گذشته از:، قرار دادن در جای مناسب، استوار کردن
anbringa	قرار دادن در جای مناسب، استوار کردن
anbringade	زمان گذشته از:، قرار دادن در جای مناسب، استوار کردن
anbringar	زمان حال از:، قرار دادن در جای مناسب، استوار کردن
anbrott	محل قطع شده
anbud	تقدیم، پیشنهاد قیمت، ارایه
anciennitet	حق ارجعیت از لحاظ سنی
and	مرغابی وحشی
anda	نفس، دم، روح، روان،
andades	زمان گذشته از:، نفس کشیدن، زنده بودن
andakt	دعا، عبادت مخصوص
andaktsfull	عبادتی
andande	نفس زنان
andas	نفس کشیدن، زنده بودن
andats	ماضی نقلی و بعید از:، نفس کشیدن، زنده بودن
ande	روح و نفس، جان
andebesvärjelse	طرد روح پلید
andedrag	تنفس، دم زنی
andedräkt	تنفس
andefattig	بی روح، راکد
andel	سهم، بخش
andelsförening	انجمن تعاونی
andelsföretag	شرکت سهامی
andemening	ذات، ماهیت - ذهن
andesyn	خیال، تصور
andetag	نفس، دم
andfådd	دارای نفس تنگی
andjakt	شکار مرغابی
andlig	روحی- معنوی، غیرمادی، روحانی، مذهبی
